customer_id,order_date,total_price
9817,2023-03-08,467.83
1780,2023-04-26,48.92
9836,2023-07-12,301.41
2505,2023-09-14,180.76
6152,2023-07-04,55.55
9189,2023-05-02,41.36
1487,2022-11-13,332.3
6920,2023-06-17,169.39
6303,2023-04-24,219.13
6385,2022-10-09,328.45
1817,2022-12-22,74.12
2445,2023-01-13,400.8
8173,2022-11-15,401.24
5898,2022-12-17,303.0
3623,2023-03-27,172.77
4421,2023-09-11,38.66
2847,2023-02-05,315.5
711,2023-05-13,273.55
2734,2023-09-01,207.64
7605,2023-05-05,408.13
2040,2023-01-03,346.35
9682,2023-02-24,124.5
9954,2022-12-08,217.91
846,2023-08-25,62.44
9002,2023-07-20,422.75
9001,2022-10-10,369.56
2962,2023-03-22,407.17
4197,2023-02-11,369.54
7172,2022-12-08,421.63
2420,2023-07-27,116.87
9456,2023-07-03,381.39
7580,2023-02-01,153.26
3551,2023-05-27,85.62
8525,2023-03-17,132.41
3780,2023-08-13,53.65
5477,2023-06-01,281.04
7320,2022-09-26,428.62
3771,2023-04-24,132.23
9037,2022-12-01,108.67
9174,2023-02-22,14.33
4609,2022-11-19,287.3
2269,2023-09-18,58.5
71,2023-07-11,267.89
650,2023-02-09,43.37
2704,2023-07-05,128.65
4488,2023-07-30,411.48
6237,2023-03-29,287.96
2400,2023-03-31,358.76
5365,2023-04-07,343.41
4803,2023-03-15,16.87
4867,2022-11-04,69.62
4238,2022-12-06,260.49
7348,2023-06-07,246.0
5124,2022-10-20,280.49
6166,2023-03-31,300.75
6310,2022-10-28,257.29
4417,2023-03-12,310.56
5180,2023-07-13,496.73
3276,2023-02-14,304.87
3367,2023-06-20,50.65
8256,2022-12-07,151.78
7143,2023-07-01,349.87
1486,2023-09-15,104.85
3476,2022-12-11,232.27
2739,2023-02-04,392.63
34,2023-01-28,266.45
1479,2022-09-27,494.09
2271,2022-12-27,228.59
4360,2022-12-16,155.4
2575,2023-07-31,241.45
8550,2022-12-02,321.52
1962,2023-02-01,450.71
633,2023-05-26,458.32
9069,2023-02-04,233.01
3398,2023-03-10,227.76
7175,2023-03-12,348.75
9975,2022-12-11,129.89
545,2022-11-26,209.94
1933,2023-01-19,371.33
5020,2022-12-14,313.52
1524,2023-04-06,42.46
8565,2023-02-10,64.43
947,2022-11-16,218.1
1125,2023-03-21,201.83
8403,2022-10-23,203.4
1813,2023-05-13,375.06
9608,2023-03-24,242.23
406,2022-11-16,162.4
7641,2022-12-13,252.49
9348,2023-03-11,267.67
503,2023-08-06,240.25
9773,2023-06-19,245.21
162,2023-09-19,217.07
479,2023-07-26,94.73
5168,2023-06-05,308.42
3695,2022-11-29,275.49
5147,2023-01-30,419.11
1332,2023-07-02,225.33
8059,2022-12-21,253.23
8244,2023-03-20,282.89
1284,2023-06-14,161.03
7165,2023-06-01,463.58
1706,2023-02-22,61.77
2556,2022-12-22,10.81
6566,2023-01-26,319.91
2223,2023-03-09,385.94
6939,2023-06-30,57.31
7979,2023-05-26,25.97
7112,2023-02-25,425.11
355,2023-05-17,144.5
