order_id,podcast_id,quantity
1,14,1
2,18,7
3,11,8
4,41,6
5,29,8
6,35,4
7,31,5
8,13,9
9,10,2
10,22,9
11,40,2
12,37,9
13,39,4
14,43,5
15,8,2
16,14,1
17,7,3
18,35,3
19,46,7
20,5,2
21,48,10
22,28,2
23,22,10
24,39,5
25,47,7
26,7,4
27,17,9
28,41,10
29,35,3
30,47,4
31,5,5
32,41,9
33,1,9
34,24,7
35,24,8
36,37,5
37,11,4
38,29,7
39,41,8
40,16,10
41,25,9
42,41,1
43,37,8
44,1,3
45,33,4
46,27,8
47,31,4
48,50,1
49,43,10
50,8,8
51,36,5
52,13,9
53,6,9
54,46,6
55,32,5
56,20,1
57,33,10
58,11,5
59,35,2
60,43,3
61,10,10
62,44,1
63,33,9
64,1,1
65,29,6
66,1,6
67,8,1
68,34,7
69,11,1
70,25,3
71,11,8
72,9,6
73,16,3
74,2,9
75,13,4
76,20,9
77,21,4
78,50,10
79,17,1
80,2,3
81,14,9
82,3,4
83,22,9
84,24,4
85,11,4
86,30,9
87,26,4
88,28,8
89,13,5
90,48,2
91,12,7
92,24,6
93,24,1
94,21,5
95,38,8
96,37,2
97,14,7
98,16,1
99,12,1
100,45,2
101,24,6
102,21,1
103,33,1
104,47,3
105,21,7
106,45,5
107,13,2
108,29,8
109,3,7
110,42,9
111,34,2
112,21,1
113,44,5
114,10,1
115,27,10
116,39,7
117,39,3
118,38,7
119,35,1
120,4,3
121,50,6
122,30,10
123,43,1
124,37,4
125,48,7
126,50,7
127,22,9
128,45,2
129,2,9
130,3,5
131,15,2
132,3,5
133,35,8
134,8,5
135,35,7
136,5,7
137,9,1
138,11,3
139,18,9
140,34,1
141,31,7
142,40,2
143,22,6
144,18,5
145,34,6
146,12,2
147,14,10
148,6,2
149,17,5
150,24,9
151,33,1
152,39,4
153,34,1
154,50,4
155,45,6
156,32,9
157,49,7
158,9,2
159,10,4
160,39,8
161,32,9
162,12,7
163,25,9
164,43,6
165,17,5
166,10,3
167,13,4
168,11,7
169,19,8
170,6,2
171,9,7
172,6,2
173,46,5
174,34,3
175,44,2
176,7,2
177,31,2
178,45,8
179,13,4
180,24,7
181,12,8
182,22,4
183,18,3
184,29,6
185,16,1
186,29,1
187,37,9
188,32,2
189,29,8
190,39,3
191,22,7
192,34,9
193,22,1
194,13,6
195,17,2
196,3,7
197,28,1
198,19,1
199,10,2
200,1,1
201,30,5
202,24,6
203,20,8
204,46,7
205,45,9
206,14,8
207,25,3
208,46,10
209,36,3
210,32,7
211,49,8
212,34,5
213,47,10
214,15,3
215,27,1
216,14,3
217,8,8
218,48,3
219,38,8
220,24,4
221,3,7
222,15,6
223,28,5
224,5,5
225,43,3
226,42,7
227,6,2
228,30,3
229,9,2
230,8,5
231,18,6
232,49,9
233,32,10
234,11,1
235,14,1
236,36,7
237,9,7
238,41,9
239,2,6
240,29,3
241,37,6
242,18,7
243,30,10
244,13,1
245,46,3
246,35,6
247,41,6
248,16,9
249,20,9
250,43,6
251,12,7
252,40,1
253,5,8
254,1,9
255,23,3
256,32,9
257,3,6
258,48,6
259,42,6
260,19,10
261,50,10
262,42,2
263,44,9
264,25,10
265,15,5
266,6,8
267,48,7
268,24,5
269,50,2
270,39,6
271,34,7
272,24,9
273,30,10
274,16,2
275,34,2
276,41,7
277,8,10
278,28,2
279,21,8
280,10,7
281,18,8
282,30,4
283,12,1
284,22,8
285,29,9
286,7,1
287,1,7
288,19,6
289,32,6
290,2,3
291,29,7
292,7,6
293,50,7
294,26,5
295,12,3
296,43,3
297,6,3
298,42,9
299,25,5
300,30,3
301,19,1
302,25,7
303,25,6
304,5,4
305,9,9
306,7,5
307,12,8
308,42,6
309,36,6
310,29,10
311,42,9
312,50,2
313,9,7
314,15,7
315,21,9
316,49,3
317,36,3
318,31,7
319,39,4
320,44,10
321,5,8
322,16,5
323,19,8
324,33,3
325,29,6
326,33,1
327,21,6
328,30,10
329,38,8
330,15,3
331,36,6
332,4,4
333,39,1
334,32,10
335,20,8
336,6,3
337,40,8
338,32,9
339,32,9
340,19,10
341,39,8
342,25,4
343,30,2
344,15,9
345,21,6
346,34,3
347,16,7
348,40,3
349,27,1
350,44,7
351,23,6
352,39,1
353,36,9
354,29,2
355,41,7
356,11,4
357,29,8
358,30,8
359,7,7
360,2,7
361,24,4
362,29,6
363,19,2
364,23,4
365,5,6
366,14,5
367,24,9
368,4,4
369,31,10
370,43,2
371,36,5
372,9,10
373,2,10
374,4,9
375,2,2
376,6,6
377,4,2
378,22,9
379,3,10
380,41,10
381,35,3
382,7,4
383,46,7
384,5,2
385,49,8
386,45,1
387,19,9
388,20,4
389,24,5
390,49,6
391,1,2
392,23,7
393,4,9
394,21,6
395,40,7
396,36,4
397,33,2
398,42,3
399,34,9
400,30,8
401,3,2
402,23,1
403,14,2
404,13,7
405,46,10
406,25,6
407,30,2
408,27,6
409,19,3
410,5,10
411,17,7
412,36,5
413,21,8
414,46,4
415,8,5
416,38,6
417,9,9
418,14,10
419,31,7
420,12,1
421,20,4
422,19,9
423,13,9
424,21,8
425,7,6
426,40,6
427,2,9
428,2,5
429,23,4
430,33,7
431,50,9
432,28,6
433,18,1
434,31,6
435,38,2
436,25,8
437,33,8
438,12,1
439,7,9
440,40,2
441,43,8
442,32,8
443,5,1
444,50,1
445,19,4
446,17,9
447,29,1
448,10,3
449,27,6
450,4,9
451,7,10
452,32,8
453,47,3
454,48,3
455,43,6
456,23,10
457,31,10
458,13,9
459,41,3
460,40,2
461,4,7
462,12,5
463,39,7
464,46,3
465,1,6
466,44,7
467,40,2
468,24,8
469,27,2
470,19,7
471,40,3
472,35,4
473,42,4
474,19,3
475,17,3
476,39,6
477,15,4
478,22,6
479,15,3
480,3,4
481,2,3
482,1,8
483,27,1
484,42,1
485,39,4
486,20,3
487,10,8
488,34,1
489,28,5
490,20,5
491,40,4
492,36,9
493,35,3
494,20,9
495,12,6
496,39,9
497,33,4
498,8,10
499,14,3
500,42,2
501,17,3
502,5,9
503,45,4
504,43,6
505,10,9
506,12,4
507,38,10
508,22,5
509,41,10
510,50,9
511,19,1
512,12,3
513,49,9
514,42,9
515,12,4
516,31,3
517,40,8
518,12,8
519,1,10
520,43,1
521,24,5
522,37,8
523,20,7
524,30,8
525,7,9
526,50,2
527,31,9
528,2,6
529,6,10
530,49,7
531,30,4
532,1,3
533,38,10
534,48,4
535,12,9
536,10,9
537,20,7
538,37,7
539,40,9
540,10,4
541,10,2
542,9,4
543,29,3
544,40,9
545,41,8
546,50,4
547,40,3
548,1,10
549,32,10
550,37,4
551,49,7
552,30,4
553,28,3
554,21,7
555,2,6
556,48,10
557,20,2
558,5,7
559,39,3
560,42,10
561,48,7
562,38,8
563,11,8
564,30,8
565,43,10
566,11,1
567,40,5
568,16,5
569,15,7
570,11,2
571,21,9
572,18,2
573,42,8
574,4,7
575,47,1
576,41,5
577,45,9
578,35,4
579,18,1
580,4,7
581,34,4
582,20,1
583,9,7
584,11,2
585,6,6
586,4,2
587,8,8
588,32,1
589,17,9
590,27,3
591,9,6
592,42,9
593,50,4
594,40,2
595,31,1
596,50,2
597,8,6
598,42,7
599,1,2
600,10,5
601,7,8
602,38,3
603,40,1
604,9,10
605,48,6
606,23,7
607,39,9
608,1,5
609,28,7
610,23,10
611,36,7
612,33,9
613,41,6
614,13,4
615,44,2
616,24,2
617,40,4
618,32,3
619,39,5
620,18,5
621,33,9
622,47,2
623,33,4
624,16,3
625,41,8
626,50,1
627,43,4
628,17,8
629,22,6
630,42,3
631,42,2
632,38,5
633,5,1
634,5,4
635,27,1
636,20,6
637,25,9
638,1,2
639,50,5
640,41,8
641,35,7
642,48,7
643,36,1
644,25,10
645,46,5
646,34,10
647,7,1
648,14,3
649,23,2
650,16,7
651,37,7
652,9,2
653,3,2
654,10,1
655,29,10
656,21,1
657,48,9
658,15,7
659,42,4
660,1,10
661,27,9
662,39,10
663,16,3
664,29,7
665,10,7
666,21,4
667,30,9
668,36,10
669,13,4
670,22,5
671,11,2
672,25,7
673,41,9
674,29,3
675,24,1
676,1,3
677,17,7
678,50,7
679,17,10
680,18,7
681,15,3
682,21,1
683,50,6
684,4,4
685,45,7
686,42,3
687,48,8
688,33,6
689,28,9
690,17,10
691,19,7
692,18,2
693,35,6
694,37,6
695,34,4
696,50,2
697,32,2
698,16,5
699,37,7
700,45,8
701,14,7
702,33,10
703,15,5
704,21,7
705,26,4
706,10,8
707,2,6
708,1,6
709,32,1
710,41,9
711,46,2
712,40,1
713,15,2
714,42,3
715,47,4
716,32,3
717,32,5
718,8,1
719,3,2
720,4,6
721,10,3
722,19,2
723,22,8
724,43,8
725,38,7
726,19,8
727,18,5
728,17,1
729,35,3
730,5,6
731,6,2
732,43,7
733,50,1
734,50,2
735,34,6
736,49,8
737,2,7
738,43,4
739,33,7
740,24,10
741,10,2
742,3,3
743,26,2
744,47,9
745,20,2
746,46,4
747,41,7
748,30,7
749,15,6
750,19,9
751,2,6
752,13,10
753,7,10
754,31,10
755,27,8
756,37,10
757,42,6
758,31,8
759,28,7
760,34,5
761,19,1
762,24,3
763,50,9
764,28,9
765,11,1
766,20,8
767,28,1
768,34,3
769,39,9
770,40,6
771,23,7
772,43,4
773,20,9
774,21,10
775,47,8
776,30,10
777,47,7
778,8,6
779,2,7
780,37,1
781,6,1
782,14,7
783,15,2
784,29,10
785,41,8
786,31,3
787,14,7
788,48,6
789,33,4
790,33,2
791,30,10
792,47,2
793,20,5
794,41,10
795,8,6
796,14,5
797,18,5
798,9,8
799,3,3
800,6,6
801,35,5
802,11,7
803,37,4
804,41,10
805,20,4
806,3,8
807,38,6
808,16,8
809,1,10
810,45,10
811,11,9
812,15,1
813,23,2
814,30,6
815,14,1
816,45,8
817,1,5
818,40,8
819,26,4
820,21,3
821,16,1
822,32,7
823,11,4
824,29,5
825,36,9
826,21,2
827,35,1
828,17,5
829,1,8
830,21,10
831,39,8
832,8,5
833,16,9
834,49,3
835,42,9
836,9,2
837,7,5
838,17,6
839,39,10
840,15,9
841,15,1
842,46,1
843,47,6
844,48,2
845,45,10
846,3,7
847,10,4
848,36,8
849,4,1
850,24,5
851,32,8
852,38,3
853,8,5
854,7,6
855,46,8
856,12,2
857,36,2
858,33,6
859,18,9
860,11,3
861,42,4
862,8,6
863,32,9
864,6,8
865,12,5
866,17,10
867,21,9
868,40,5
869,27,10
870,49,9
871,9,3
872,47,4
873,25,3
874,15,8
875,37,6
876,43,8
877,32,6
878,47,9
879,50,7
880,49,3
881,19,3
882,24,3
883,2,10
884,28,1
885,17,7
886,2,2
887,47,4
888,11,8
889,42,2
