podcast_id,podcast_name,price
1,Stay cool out there,3.33
2,Why China’s economic rebound has fallen short of expectations,5.58
3,Is the current job market music to the Fed’s ears?,2.56
4,Why you should pay attention to bank earnings,6.72
5,What will inflation look like in 6 months?,5.17
6,How to price an IPO so it “pops”,8.36
7,Why oil prices jumped today,9.41
8,A view of the post-peak housing market,4.76
9,Stay cool out there,3.13
10,A barometer for the AI economy,2.78
11,Get used to these labor shortages,9.12
12,"Interest rates are high, but  consumer confidence is up",7.07
13,How to price an IPO so it “pops”,8.43
14,What will inflation look like in 6 months?,1.06
15,Why China’s economic rebound has fallen short of expectations,9.41
16,Why oil prices jumped today,9.77
17,The facial recognition software cops are raving about,3.65
18,"A labor market that’s cooling, but not cool",7.37
19,A brake tap on wage gains,4.14
20,The facial recognition software cops are raving about,7.85
21,The Chicago Fed president on the path forward for interest rates,8.96
22,The things that keep economists up at night,7.73
23,"Manufacturing is down in the dumps, but things may be looking up",2.07
24,Can we let the economic good news be good news?,3.43
25,Confused by the economy right now? So are economists.,1.15
26,A brake tap on wage gains,8.84
27,Life’s bananas. Let’s buy something!,4.44
28,Don’t lose sleep over the uptick in producer prices,4.48
29,"Interest rates are high, but  consumer confidence is up",5.98
30,Give yourself a pat on the back,7.19
31,An economic vibe shift?,7.76
32,"Interest rates are high, but  consumer confidence is up",4.32
33,The country’s newest test case for nuclear power,9.71
34,The country’s newest test case for nuclear power,9.91
35,"Political economics, zero-COVID and China’s slowing recovery",7.34
36,A strong dollar spells trouble for other economies,7.39
37,The things that keep economists up at night,8.6
38,Confused by the economy right now? So are economists.,4.83
39,"Political economics, zero-COVID and China’s slowing recovery",6.03
40,"Political economics, zero-COVID and China’s slowing recovery",7.84
41,Regulate crypto? Sure. But how?,9.5
42,"Interest rates are high, but  consumer confidence is up",6.41
43,Poverty rose last year. Inflation’s only part of the story.,9.43
44,A brake tap on wage gains,7.36
45,"Bitcoin, election anxiety and second passports",4.03
46,What will inflation look like in 6 months?,8.18
47,What’s behind those annoying customer service hold times?,3.48
48,"Interest rates are high, but  consumer confidence is up",4.43
49,"Your move, Federal Reserve",6.15
50,Remember the $5 footlong? Thank behavioral economics.,9.63
